quantity_available,manufacturer,unit_price,product_status,product_url,standard_pricing,manufacturer_product_number,datasheet_url,Contact Type,Pitch - Mating,Number of Positions,Number of Rows,Mounting Type,Contact Length - Mating,Contact Length - Post,Insulation Height,Current Rating (Amps),Voltage Rating
40685,Molex,0.37,Active,https://www.digikey.com/en/products/detail/molex/0901200122/760787,1 in Bulk for 0.37  10 in Bulk for 3.17  100 in Bulk for 26.91  500 in Bulk for 120.08  1000 in Bulk for 228.68  5000 in Bulk for 1020.6  10000 in Bulk for 1943.8 ,0901200122,https://www.molex.com/pdm_docs/sd/901200122_sd.pdf,Male Pin,"0.100"" (2.54mm)",2,1,Through Hole,"0.266"" (6.75mm)","0.114"" (2.90mm)","0.098"" (2.50mm)",-,-
27816,Harwin Inc.,0.43,Active,https://www.digikey.com/en/products/detail/harwin-inc/M20-8760342/3727889,1 in Bulk for 0.43  10 in Bulk for 3.67  100 in Bulk for 31.22  500 in Bulk for 139.29  1000 in Bulk for 265.27  5000 in Bulk for 1183.9  10000 in Bulk for 2254.9 ,M20-8760342,https://cdn.harwin.com/pdfs/M20-876.pdf,Male Pin,"0.100"" (2.54mm)",6,2,Surface Mount,"0.228"" (5.80mm)",-,"0.100"" (2.54mm)",3A per Contact,250V
9978,Samtec Inc.,0.43,Active,https://www.digikey.com/en/products/detail/samtec-inc/TSW-104-07-F-D/2685891,1 in Bag for 0.43  50 in Bag for 18.5  100 in Bag for 31.0  500 in Bag for 130.0  1000 in Bag for 220.0  2000 in Bag for 380.0  5000 in Bag for 850.0  10000 in Bag for 1500.0 ,TSW-104-07-F-D,https://suddendocs.samtec.com/catalog_english/tsw_th.pdf,Male Pin,"0.100"" (2.54mm)",8,2,Through Hole,"0.230"" (5.84mm)","0.100"" (2.54mm)","0.100"" (2.54mm)",-,-
1262,Harwin Inc.,0.44,Active,https://www.digikey.com/en/products/detail/harwin-inc/M20-9980545/2811108,1 in Bulk for 0.44  10 in Bulk for 3.72  100 in Bulk for 31.59  500 in Bulk for 140.98  1000 in Bulk for 268.48  5000 in Bulk for 1198.25  10000 in Bulk for 2282.2 ,M20-9980545,https://cdn.harwin.com/pdfs/M20-998.pdf,Male Pin,"0.100"" (2.54mm)",10,2,Through Hole,"0.240"" (6.10mm)","0.118"" (3.00mm)","0.100"" (2.54mm)",3A per Contact,-
7111,TE Connectivity AMP Connectors,0.47,Active,https://www.digikey.com/en/products/detail/te-connectivity-amp-connectors/5-146280-2/2275896,1 in Bulk for 0.47  10 in Bulk for 3.98  100 in Bulk for 33.81  500 in Bulk for 150.86  1000 in Bulk for 287.3  5000 in Bulk for 1282.25  10000 in Bulk for 2442.2 ,5-146280-2,https://www.te.com/usa-en/product-5-146280-2.datasheet.pdf,Male Pin,"0.100"" (2.54mm)",2,1,Through Hole,"0.230"" (5.84mm)","0.120"" (3.05mm)","0.090"" (2.29mm)",3A,-
10021,Amphenol ICC (FCI),0.49,Active,https://www.digikey.com/en/products/detail/amphenol-cs-fci/67997-206HLF/1878491,1 in Bag for 0.49  10 in Bag for 4.17  400 in Bag for 128.46  800 in Bag for 244.648  1200 in Bag for 356.616  5200 in Bag for 1393.392  10000 in Bag for 2558.9 ,67997-206HLF,https://www.waldom.com/upload/parts/datasheets/mf-fci/fci-67997-206hlf.pdf,Male Pin,"0.100"" (2.54mm)",6,2,Through Hole,"0.230"" (5.84mm)","0.120"" (3.05mm)","0.100"" (2.54mm)",3A,-
27305,Amphenol ICC (FCI),0.5,Active,https://www.digikey.com/en/products/detail/amphenol-cs-fci/10129383-910001ALF/7916191,370 in Tape & Reel (TR) for 121.0011  740 in Tape & Reel (TR) for 230.4286  1110 in Tape & Reel (TR) for 335.886  1850 in Tape & Reel (TR) for 539.978  2590 in Tape & Reel (TR) for 738.2277  3700 in Tape & Reel (TR) for 1028.415  9250 in Tape & Reel (TR) for 2410.0875  18500 in Tape & Reel (TR) for 4590.22  37000 in Tape & Reel (TR) for 8742.73  1 in Cut Tape (CT) for 0.5  10 in Cut Tape (CT) for 4.22  100 in Cut Tape (CT) for 35.87  1 in Digi-Reel® for 0.5  10 in Digi-Reel® for 4.22  100 in Digi-Reel® for 35.87 ,10129383-910001ALF,https://cdn.amphenol-cs.com/media/wysiwyg/files/documentation/datasheet/boardwiretoboard/bwb_econostik_254headers.pdf,Male Pin,"0.100"" (2.54mm)",10,2,Surface Mount,"0.230"" (5.84mm)",-,"0.100"" (2.54mm)",3A,110VDC
3107,TE Connectivity AMP Connectors,0.5,Active,https://www.digikey.com/en/products/detail/te-connectivity-amp-connectors/5-146285-2/2275921,250 in Bulk for 80.0  1 in Bulk for 0.5  10 in Bulk for 4.25  100 in Bulk for 36.12  500 in Bulk for 161.2  1000 in Bulk for 306.99  5000 in Bulk for 1370.15  10000 in Bulk for 2609.5 ,5-146285-2,https://www.te.com/usa-en/product-5-146285-2.datasheet.pdf,Male Pin,"0.100"" (2.54mm)",2,1,Through Hole,"0.230"" (5.84mm)","0.090"" (2.29mm)","0.090"" (2.29mm)",3A,-
20227,Würth Elektronik,0.51,Active,https://www.digikey.com/en/products/detail/würth-elektronik/61300621121/4846835,1 in Bulk for 0.51  10 in Bulk for 4.36  25 in Bulk for 9.09  50 in Bulk for 15.16  100 in Bulk for 27.54  1000 in Bulk for 250.2 ,61300621121,https://www.we-online.com/katalog/datasheet/6130xx21121.pdf,Male Pin,"0.100"" (2.54mm)",6,2,Through Hole,"0.236"" (6.00mm)","0.118"" (3.00mm)","0.100"" (2.54mm)",3A,250V
21439,Molex,0.52,Active,https://www.digikey.com/en/products/detail/molex/0901200762/760799,1 in Bulk for 0.52  10 in Bulk for 4.38  100 in Bulk for 37.18  500 in Bulk for 165.93  1000 in Bulk for 316.01  6000 in Bulk for 1670.88  12000 in Bulk for 3182.28 ,0901200762,https://www.molex.com/content/dam/molex/molex-dot-com/products/automated/en-us/salesdrawingpdf/901/90120/901200762_sd.pdf?inline,Male Pin,"0.100"" (2.54mm)",2,1,Through Hole,"0.266"" (6.75mm)","0.114"" (2.90mm)","0.098"" (2.50mm)",-,-
